"sciname","score","year"
"ammospiza maritima",-0.025,2017
"ammospiza nelsoni",0,2017
"mareca americana",0,2017
"mareca penelope",-0.025,2017
"larus atricilla",0.025,2017
"larus delawarensis",0.025,2017
"larus fuscus",0.025,2017
"larus glaucoides",0,2017
"larus marinus",NA,2017
"larus philadelphia",0.025,2017
"larus ridibundus",NA,2017
"larus smithsonianus",-0.025,2017
"limnodromus griseus",-0.025,2017
"oceanites oceanicus",0,2017
"limosa haemastica",-0.025,2017
"lophodytes cucullatus",0.025,2017
"melanitta perspicillata",-0.025,2017
"mergus merganser",NA,2017
"mergus serrator",0,2017
"mycteria americana",-0.025,2017
"phalacrocorax carbo",0.025,2017
"numenius phaeopus",-0.025,2017
"nyctanassa violacea",0,2017
"onychoprion anaethetus",NA,2017
"pandion haliaetus",0.025,2017
"pluvialis squatarola",-0.025,2017
"pluvialis dominica",-0.025,2017
"rallus crepitans",-0.025,2017
"sterna paradisaea",-0.025,2017
"somateria mollissima",NA,2017
"somateria spectabilis",-0.025,2017
"spatula clypeata",-0.025,2017
"spatula discors",-0.025,2017
"stercorarius pomarinus",0,2017
"sterna hirundo",NA,2017
"sternula antillarum",-0.025,2017
"thalasseus sandvicensis",0,2017
"tringa semipalmata",0,2017
"tringa melanoleuca",0,2017
"sturnus vulgaris",-0.025,2017
"morus bassanus",0.025,2017
"hydroprogne caspia",0.025,2017
"podiceps grisegena",-0.025,2017
"pterodroma cahow",0.025,2017
"pterodroma deserta",0,2017
"puffinus lherminieri",-0.025,2017
"puffinus puffinus",NA,2017
"rissa tridactyla",-0.025,2017
"thalasseus maximus",0,2017
"uria aalge",0.025,2017
"uria lomvia",0.025,2017
"cistothorus palustris",0.025,2017
"geothlypis trichas",0,2017
"egretta tricolor",0,2017
"aythya valisineria",-0.025,2017
"melospiza melodia",0,2017
"haliaeetus leucocephalus",0.025,2017
"branta bernicla",NA,2017
"calidris alpina",-0.025,2017
"calidris fuscicollis",-0.025,2017
"larus hyperboreus",0,2017
"calidris minutilla",-0.025,2017
"melanitta americana",-0.025,2017
"calidris pusilla",-0.025,2017
"calidris ruficollis",-0.025,2017
"melanitta deglandi",-0.025,2017
"ardea herodias",0.025,2017
"bucephala clangula",0,2017
"ardea alba",NA,2017
"actitis macularius",-0.025,2017
"anas acuta",-0.025,2017
"anas rubripes",-0.025,2017
"anser caerulescens",0.025,2017
"arenaria interpres",-0.025,2017
"aythya affinis",-0.025,2017
"aythya americana",0.025,2017
"aythya fuligula",0,2017
"aythya marila",-0.025,2017
"bucephala albeola",0.025,2017
"butorides striata",-0.025,2017
"calidris alba",NA,2017
"calidris canutus",-0.025,2017
"calidris maritima",-0.025,2017
"calidris melanotos",0,2017
"cepphus grylle",NA,2017
"phaethon lepturus",-0.025,2017
"anthus rubescens",-0.025,2017
"calcarius lapponicus",0.025,2017
"onychoprion fuscatus",NA,2017
"alca torda",-0.025,2017
"alle alle",-0.025,2017
"ardenna gravis",0,2017
"catharacta skua",0,2017
"fratercula arctica",-0.025,2017
"fulmarus glacialis",0.025,2017
"ardenna grisea",-0.025,2017
"egretta caerulea",-0.025,2017
"sterna dougallii",NA,2017
"xema sabini",0,2017
"eremophila alpestris",-0.025,2017
